date,Q_i,Q_C,Q_L,T_i,T_C,T_L
1978-08-28,454.1450022073825,318.5693335067015,772.714335714084,,,
1978-08-29,441.4038107214758,315.27947171499255,756.6832824364683,,,
1978-08-30,472.6590286659458,343.7987115529948,816.4577402189407,,,
1978-08-31,289.02549142526493,212.76123757341412,501.78672899867905,,,
1978-09-01,313.5605848914331,324.05204453572793,637.612629427161,,,
1978-09-02,390.9410604480377,326.35137527478497,717.2924357228227,,,
1978-09-03,417.40512429786156,327.0386231237672,744.4437474216288,,,
1978-09-04,410.614424802985,322.06085659262595,732.6752813956109,,,
1978-09-05,446.5379528961604,340.61081246650707,787.1487653626675,,,
1978-09-06,452.78189056207555,350.25433223563874,803.0362227977143,,,
1978-09-07,462.8806705933733,359.25142218564275,822.132092779016,,,
1978-09-08,450.7691934314008,372.64619986041566,823.4153932918165,,,
1978-09-09,461.33091307988786,343.844521964245,805.1754350441329,,,
1978-09-10,469.36938690770387,346.30588113914115,815.6752680468451,,,
1978-09-11,453.429307249308,337.8357889258651,791.2650961751731,,,
1978-09-12,466.1099018429394,347.5877113838097,813.6976132267491,,,
1978-09-13,471.5229706417308,360.7657227963819,832.2886934381127,,,
1978-09-14,481.0260929482623,369.3303695277455,850.3564624760079,,,
1978-09-15,475.9394681793498,356.5799055449634,832.5193737243133,,,
1978-09-16,467.42855089560817,352.1516711651172,819.5802220607254,,,
1978-09-17,499.517911920056,323.51993986512815,823.0378517851841,,,
1978-09-18,482.5967720369113,289.3035528286097,771.900324865521,,,
1978-09-19,84.07275410439675,137.57962760972293,221.65238171411968,,,
1978-09-20,328.5415712064406,259.3345880848592,587.8761592912998,,,
1978-09-21,386.3287321918567,264.02598675424906,650.3547189461058,,,
1978-09-22,384.74397784811254,295.19790105371493,679.9418789018275,,,
1978-09-23,379.2306460411463,295.5299232437507,674.760569284897,,,
1978-09-24,397.55074019997187,300.26376880009474,697.8145090000667,,,
1978-09-25,414.1398683866536,306.770112783485,720.9099811701385,,,
1978-09-26,426.31440680319656,312.33902183096205,738.6534286341587,,,
1978-09-27,440.8407255981755,317.5475283907187,758.3882539888941,,,
1978-09-28,444.33891793211944,313.20155436332124,757.5404722954406,,,
1978-09-29,458.22535619405596,322.9779509729239,781.2033071669798,,,
1978-09-30,462.8243236346774,328.5894979420306,791.413821576708,,,
1978-10-01,459.39713538100455,315.8840365021482,775.2811718831528,,,
1978-10-02,472.69362127031025,309.367981201411,782.0616024717212,,,
1978-10-03,484.36937463085565,322.97531878062216,807.3446934114778,,,
1978-10-04,480.5591860802928,296.7838968128075,777.3430828931002,,,
1978-10-05,442.58675877176324,269.1448414788341,711.7316002505974,,,
1978-10-06,280.3812244647213,85.48680315367618,365.8680276183975,,,
1978-10-07,387.35213547768114,169.06216684082972,556.4143023185109,,,
1978-10-08,468.40330787773183,250.88859479867313,719.291902676405,,,
1978-10-09,471.14205281546117,263.43008958160715,734.5721423970683,,,
1978-10-10,470.0919965979976,268.0753066783458,738.1673032763433,,,
1978-10-11,465.16989133079113,267.16990787611064,732.3397992069017,,,
1978-10-12,469.52874084481937,268.2179928225763,737.7467336673957,,,
1978-10-13,459.55860925560467,265.309242693564,724.8678519491687,,,
1978-10-14,196.85775947783614,192.33513668974263,389.19289616757874,,,
1978-10-15,95.67313428967643,323.84465141507314,419.5177857047496,,,
1978-10-16,273.6886277634753,262.87962525137334,536.5682530148487,,,
1978-10-17,318.615835188511,273.94721627254546,592.5630514610565,,,
1978-10-18,362.6990140970903,291.63484436493525,654.3338584620255,,,
1978-10-19,368.92665879020836,296.97563526457304,665.9022940547814,,,
1978-10-20,315.9894254330665,377.4524437290478,693.4418691621142,,,
1978-10-21,362.1116743297604,338.5690951899618,700.6807695197222,,,
1978-10-22,378.1537156257466,318.72174707740703,696.8754627031536,,,
1978-10-23,369.6136150586065,295.744938994127,665.3585540527336,,,
1978-10-24,370.0544037370953,298.297971526796,668.3523752638913,,,
1978-10-25,390.17131961972166,313.7168724715615,703.8881920912831,,,
1978-10-26,290.8301149107979,224.8745528256644,515.7046677364623,,,
1978-10-27,32.151099373891654,430.0534732284757,462.20457260236736,,,
1978-10-28,130.43158578725877,435.9744041322153,566.405989919474,,,
1978-10-29,204.08734027908577,393.6900169284156,597.7773572075014,,,
1978-10-30,255.14446312781425,381.6916795046498,636.8361426324641,,,
1978-10-31,289.091586191903,368.6982216142557,657.7898078061587,,,
1978-11-01,321.1808762602076,365.60448501914146,686.785361279349,,,
1978-11-02,347.0983507912739,361.8652716332342,708.9636224245081,,,
1978-11-03,347.42821418965235,350.8879618206869,698.3161760103392,,,
1978-11-04,345.8335809309769,336.4393787760731,682.27295970705,,,
1978-11-05,355.1260473801353,329.39152468323516,684.5175720633704,,,
1978-11-06,370.62792381716775,331.1581780785658,701.7861018957335,,,
1978-11-07,379.94327561289305,328.0252955881973,707.9685712010903,,,
1978-11-08,366.5829444140522,322.77156242323906,689.3545068372912,,,
1978-11-09,374.80728800729906,326.1288197547059,700.9361077620049,,,
1978-11-10,374.3390343845944,314.62796712494526,688.9670015095396,,,
1978-11-11,385.6430062384146,317.32458400375106,702.9675902421657,,,
1978-11-12,390.41914406770246,305.408312543443,695.8274566111454,,,
1978-11-13,402.0596137086883,309.7822019459876,711.8418156546759,,,
1978-11-14,410.4002063524826,304.95462068358245,715.354827036065,,,
1978-11-15,413.52564990460166,302.0587947059561,715.5844446105577,,,
1978-11-16,415.9052187946878,291.9698972222344,707.8751160169222,,,
1978-11-17,418.0228368579236,263.05412813271903,681.0769649906426,,,
1978-11-18,508.17233049535804,107.4664474072,615.638777902558,,,
1978-11-19,391.28600802206444,41.877115374254466,433.1631233963189,,,
1978-11-20,435.61829525549706,152.05695586915897,587.675251124656,,,
1978-11-21,423.15616778081016,182.3171645972128,605.473332378023,,,
