date,Q_i,Q_C,Q_L,T_i,T_C,T_L
1978-08-18,463.7812316829082,349.84820294197215,813.6294346248803,,,
1978-08-19,468.9253358756921,371.1059393085784,840.0312751842705,,,
1978-08-20,475.07085488636847,353.98933214022617,829.0601870265946,,,
1978-08-21,505.03181395447655,349.6981557880437,854.7299697425203,,,
1978-08-22,507.34043074854327,365.8543464402292,873.1947771887725,,,
1978-08-23,512.6935422812609,371.0625421770802,883.7560844583411,,,
1978-08-24,504.4915650924129,368.6316509798402,873.1232160722531,,,
1978-08-25,467.64499053442864,385.1133325157813,852.7583230502099,,,
1978-08-26,506.6921447061701,367.6653994675596,874.3575441737297,,,
1978-08-27,494.5041647545563,359.5427150667551,854.0468798213114,,,
1978-08-28,486.3517002271539,339.1056966164004,825.4573968435543,,,
1978-08-29,442.911076497023,317.44165401700303,760.352730514026,,,
1978-08-30,472.4215273131085,345.7543012216745,818.175828534783,,,
1978-08-31,302.6466146939589,218.9559183852225,521.6025330791814,,,
1978-09-01,313.35563541964194,323.50672895850136,636.8623643781433,,,
1978-09-02,394.3456985249084,328.5999178174125,722.9456163423209,,,
1978-09-03,422.2347529286269,330.8222698126802,753.057022741307,,,
1978-09-04,413.9079418419825,324.682704877635,738.5906467196176,,,
1978-09-05,447.7866327237492,342.03046246311266,789.8170951868619,,,
1978-09-06,452.8915830969767,350.748121392654,803.6397044896307,,,
1978-09-07,463.3655749810791,360.0210286081156,823.3866035891947,,,
1978-09-08,450.0669680307798,374.6047072376176,824.6716752683974,,,
1978-09-09,461.37185190980205,346.89715685047275,808.2690087602748,,,
1978-09-10,469.8385772953255,348.7900534032115,818.628630698537,,,
1978-09-11,453.62648953567856,340.02712253376654,793.6536120694451,,,
1978-09-12,465.76241997628125,348.9450460085528,814.707465984834,,,
1978-09-13,471.5397199424778,361.355444558928,832.8951645014058,,,
1978-09-14,480.7107112895398,369.928504317245,850.6392156067848,,,
1978-09-15,499.56244385011803,366.5835729842393,866.1460168343574,,,
1978-09-16,467.1614184755665,353.88288046562656,821.0442989411931,,,
1978-09-17,498.8722604068048,324.85161388871774,823.7238742955226,,,
1978-09-18,481.67636092985134,293.7127418591669,775.3891027890182,,,
1978-09-19,84.03372506131592,137.53461056179998,221.5683356231159,,,
1978-09-20,327.58952770644976,258.2961772537268,585.8857049601766,,,
1978-09-21,392.96864469340284,270.4996842856732,663.468328979076,,,
1978-09-22,400.8118865882417,303.1122782088064,703.9241647970481,,,
1978-09-23,378.44097183737597,294.0570482275768,672.4980200649527,,,
1978-09-24,400.62007691777467,302.0349291904392,702.6550061082139,,,
1978-09-25,417.42020141565564,308.4152947799491,725.8354961956047,,,
1978-09-26,429.02046212659906,313.91198192782457,742.9324440544236,,,
1978-09-27,442.8962121450854,318.2666070966704,761.1628192417559,,,
1978-09-28,446.53682998027256,314.58896002696264,761.1257900072352,,,
1978-09-29,458.3289301978009,323.95869440511586,782.2876246029168,,,
1978-09-30,463.2747482015204,329.1665584076588,792.4413066091793,,,
1978-10-01,460.9097359511875,317.5863514949982,778.4960874461857,,,
1978-10-02,474.207639447827,310.38686891555915,784.5945083633861,,,
1978-10-03,483.95125990546296,322.4392201280883,806.3904800335513,,,
1978-10-04,480.8638596151101,298.06015224159125,778.9240118567013,,,
1978-10-05,444.15553922401176,272.04802620289627,716.203565426908,,,
1978-10-06,283.2640576314206,84.1959504609301,367.4600080923507,,,
1978-10-07,386.2343171183063,173.52984942316323,559.7641665414695,,,
1978-10-08,489.20791000120477,272.373288491612,761.5811984928168,,,
1978-10-09,493.223143016609,283.10588826477976,776.3290312813888,,,
1978-10-10,468.6314798087324,269.3235180998694,737.9549979086019,,,
1978-10-11,465.1214998995311,268.2615080619965,733.3830079615276,,,
1978-10-12,469.35692424065564,269.79996392250393,739.1568881631596,,,
1978-10-13,459.48802809871995,266.5019219254922,725.9899500242121,,,
1978-10-14,193.2651805421897,197.08821921393465,390.35339975612436,,,
1978-10-15,99.30425593624567,326.32324158348854,425.6274975197342,,,
1978-10-16,279.9384553921245,268.668562366884,548.6070177590085,,,
1978-10-17,322.7973026340529,276.9101875533837,599.7074901874366,,,
1978-10-18,360.3795277457897,289.4198628472026,649.7993905929923,,,
1978-10-19,369.80016539820565,294.956784793971,664.7569501921766,,,
1978-10-20,316.7761625818766,377.9894675890922,694.7656301709687,,,
1978-10-21,364.3023439441632,338.5476306866425,702.8499746308057,,,
1978-10-22,385.03981086026016,322.0521079203339,707.0919187805941,,,
1978-10-23,371.2554807043462,295.7353564658428,666.990837170189,,,
1978-10-24,370.1972810091377,296.7927069585588,666.9899879676966,,,
1978-10-25,392.24992764573346,313.4842109087134,705.7341385544469,,,
1978-10-26,325.2949307523699,250.11751470382512,575.412445456195,,,
1978-10-27,32.150688593225375,420.3053929778556,452.456081571081,,,
1978-10-28,141.2836554635939,430.9187100328545,572.2023654964485,,,
1978-10-29,209.2266743007738,396.27953424194817,605.506208542722,,,
