date,tmmx_water_lordville,tmmn_water_lordville,tavg_water_lordville,discharge_lordville,tmmx_water_lordville_src,tmmn_water_lordville_src,tavg_water_lordville_src,discharge_lordville_src
1992-11-10,4.4,2.9,3.5,,obs,obs,obs,linear_interpolation
1992-11-11,5.6,4.4,4.9,,obs,obs,obs,linear_interpolation
1992-11-12,7.9,5.6,6.4,,obs,obs,obs,linear_interpolation
1992-11-13,8.5,6.8,7.9,,obs,obs,obs,linear_interpolation
1992-11-14,6.8,4.5,5.4,,obs,obs,obs,linear_interpolation
1992-11-15,4.5,3.4,3.8,,obs,obs,obs,linear_interpolation
1992-11-16,3.5,2.5,3.1,,obs,obs,obs,linear_interpolation
1992-11-17,3.2,2.4,2.7,,obs,obs,obs,linear_interpolation
1992-11-18,3.4,2.6,3.0,,obs,obs,obs,linear_interpolation
1992-11-19,3.4,2.7,3.1,,obs,obs,obs,linear_interpolation
1992-11-20,3.1,2.1,2.7,,obs,obs,obs,linear_interpolation
1992-11-21,4.2,2.9,3.3,,obs,obs,obs,linear_interpolation
1992-11-22,6.7,4.2,5.5,,obs,obs,obs,linear_interpolation
1992-11-23,8.3,6.7,7.7,,obs,obs,obs,linear_interpolation
1992-11-24,8.1,7.0,7.5,,obs,obs,obs,linear_interpolation
1992-11-25,7.0,6.6,6.7,,obs,obs,obs,linear_interpolation
1992-11-26,7.7,6.8,7.3,,obs,obs,obs,linear_interpolation
1992-11-27,7.7,6.4,7.1,,obs,obs,obs,linear_interpolation
1992-11-28,6.4,5.0,5.6,,obs,obs,obs,linear_interpolation
1992-11-29,5.0,4.4,4.6,,obs,obs,obs,linear_interpolation
1992-11-30,4.5,4.2,4.4,,obs,obs,obs,linear_interpolation
1992-12-01,4.4,3.7,4.0,,obs,obs,obs,linear_interpolation
1992-12-02,3.9,3.5,3.8,,obs,obs,obs,linear_interpolation
1992-12-03,3.8,2.9,3.6,,obs,obs,obs,linear_interpolation
1992-12-04,2.9,1.9,2.3,,obs,obs,obs,linear_interpolation
1992-12-05,2.2,0.6,1.8,,obs,obs,obs,linear_interpolation
1992-12-06,0.6,0.0,0.1,,obs,obs,obs,linear_interpolation
1992-12-07,0.6,0.0,0.2,,obs,obs,obs,linear_interpolation
1992-12-08,0.7,0.0,0.2,,obs,obs,obs,linear_interpolation
1992-12-09,0.1,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-10,0.1,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-11,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-12,0.1,0.0,0.03333333333333333,,obs,obs,linear_interpolation,linear_interpolation
1992-12-13,0.7,0.0,0.06666666666666667,,obs,obs,linear_interpolation,linear_interpolation
1992-12-14,0.4,0.0,0.1,,obs,obs,obs,linear_interpolation
1992-12-15,0.2,0.0,0.1,,obs,obs,obs,linear_interpolation
1992-12-16,0.7,0.0,0.3,,obs,obs,obs,linear_interpolation
1992-12-17,1.4,0.7,1.0,,obs,obs,obs,linear_interpolation
1992-12-18,2.3,1.4,1.8,,obs,obs,obs,linear_interpolation
1992-12-19,1.5,0.9,1.2,,obs,obs,obs,linear_interpolation
1992-12-20,2.5,1.4,1.9,,obs,obs,obs,linear_interpolation
1992-12-21,1.5,0.2,0.6,,obs,obs,obs,linear_interpolation
1992-12-22,0.8,0.0,0.3,,obs,obs,obs,linear_interpolation
1992-12-23,0.9,0.2,0.5,,obs,obs,obs,linear_interpolation
1992-12-24,0.8,0.0,0.2,,obs,obs,obs,linear_interpolation
1992-12-25,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-26,0.1,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-27,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-28,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-29,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-30,0.1,0.0,0.0,,obs,obs,obs,linear_interpolation
1992-12-31,2.2,0.0,0.7,,obs,obs,obs,linear_interpolation
1993-01-01,2.6,0.8,2.1,,obs,obs,obs,linear_interpolation
1993-01-02,0.8,0.0,0.2,,obs,obs,obs,linear_interpolation
1993-01-03,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-01-04,2.6,0.0,1.2,,obs,obs,obs,linear_interpolation
1993-04-05,4.8,1.4,2.75,,obs,linear_interpolation,linear_interpolation,linear_interpolation
1993-04-07,5.8,2.8,4.3,,obs,obs,obs,linear_interpolation
1993-04-08,6.1,3.2,4.7,,obs,obs,obs,linear_interpolation
1993-04-09,6.2,4.2,5.2,,obs,obs,obs,linear_interpolation
1993-04-10,6.0,5.2,5.5,,obs,obs,obs,linear_interpolation
1993-04-11,5.5,4.3,4.6,,obs,obs,obs,linear_interpolation
1993-04-12,4.3,3.5,3.8,,obs,obs,obs,linear_interpolation
1993-04-13,3.9,3.1,3.5,,obs,obs,obs,linear_interpolation
1993-04-14,6.0,3.4,4.6,,obs,obs,obs,linear_interpolation
1993-04-15,6.7,4.9,5.7,,obs,obs,obs,linear_interpolation
1993-04-16,7.6,6.2,6.8,,obs,obs,obs,linear_interpolation
1993-04-17,7.2,5.5,6.5,,obs,obs,obs,linear_interpolation
1993-04-18,6.0,4.3,5.2,,obs,obs,obs,linear_interpolation
1993-04-19,7.1,4.2,5.6,,obs,obs,obs,linear_interpolation
1993-04-20,8.2,5.7,6.8,,obs,obs,obs,linear_interpolation
1993-04-21,8.0,6.9,7.2,,obs,obs,obs,linear_interpolation
1993-04-22,6.9,4.9,5.7,,obs,obs,obs,linear_interpolation
1993-04-23,5.5,4.1,4.7,,obs,obs,obs,linear_interpolation
1993-04-24,6.8,4.3,5.6,,obs,obs,obs,linear_interpolation
1993-04-25,9.0,5.9,7.3,,obs,obs,obs,linear_interpolation
1993-04-26,8.8,6.7,7.5,,obs,obs,obs,linear_interpolation
1993-04-27,8.1,5.5,6.7,,obs,obs,obs,linear_interpolation
1993-04-28,9.0,5.9,7.4,,obs,obs,obs,linear_interpolation
1993-04-29,10.2,6.9,8.6,,obs,obs,obs,linear_interpolation
1993-04-30,10.3,8.0,9.2,,obs,obs,obs,linear_interpolation
1993-05-01,12.6,8.9,10.7,,obs,obs,obs,linear_interpolation
1993-05-02,12.7,9.9,11.4,,obs,obs,obs,linear_interpolation
1993-05-03,14.5,11.7,13.0,,obs,obs,obs,linear_interpolation
1993-05-04,14.2,12.1,13.1,,obs,obs,obs,linear_interpolation
1993-05-05,13.6,12.5,13.2,,obs,obs,obs,linear_interpolation
1993-05-06,14.7,12.6,13.5,,obs,obs,obs,linear_interpolation
1993-05-07,16.1,12.4,14.3,,obs,obs,obs,linear_interpolation
1993-05-08,16.7,12.7,14.8,,obs,obs,obs,linear_interpolation
1993-05-09,17.9,14.3,16.1,,obs,obs,obs,linear_interpolation
1993-05-10,19.1,15.2,17.2,,obs,obs,obs,linear_interpolation
1993-05-11,20.3,16.8,18.6,,obs,obs,obs,linear_interpolation
1993-05-12,19.8,17.1,18.7,,obs,obs,obs,linear_interpolation
1993-05-13,18.9,16.6,17.8,,obs,obs,obs,linear_interpolation
1993-05-14,18.2,13.9,16.2,,obs,obs,obs,linear_interpolation
1993-05-15,18.9,15.4,17.2,,obs,obs,obs,linear_interpolation
1993-05-16,18.4,16.7,17.5,,obs,obs,obs,linear_interpolation
1993-05-17,18.6,14.4,16.6,,obs,obs,obs,linear_interpolation
1993-05-18,17.4,15.1,15.9,,obs,obs,obs,linear_interpolation
1993-05-19,15.1,13.4,14.1,,obs,obs,obs,linear_interpolation
1993-05-20,13.6,12.6,13.0,,obs,obs,obs,linear_interpolation
1993-05-21,14.6,11.6,13.1,,obs,obs,obs,linear_interpolation
1993-05-22,16.3,12.7,14.3,,obs,obs,obs,linear_interpolation
1993-05-23,17.6,12.9,15.3,,obs,obs,obs,linear_interpolation
1993-05-24,17.1,16.1,16.5,,obs,obs,obs,linear_interpolation
1993-05-25,20.4,16.0,17.9,,obs,obs,obs,linear_interpolation
1993-05-26,19.3,16.8,18.0,,obs,obs,obs,linear_interpolation
1993-05-27,19.1,15.6,17.4,,obs,obs,obs,linear_interpolation
1993-05-28,17.6,15.2,16.0,,obs,obs,obs,linear_interpolation
1993-05-29,16.6,14.2,15.2,,obs,obs,obs,linear_interpolation
1993-05-30,16.1,12.6,14.5,,obs,obs,obs,linear_interpolation
1993-05-31,14.8,12.2,13.0,,obs,obs,obs,linear_interpolation
1993-06-01,15.8,12.0,13.6,,obs,obs,obs,linear_interpolation
1993-06-02,17.2,13.3,15.2,,obs,obs,obs,linear_interpolation
1993-06-03,18.8,15.1,16.9,,obs,obs,obs,linear_interpolation
1993-06-04,20.1,16.0,17.8,,obs,obs,obs,linear_interpolation
1993-06-05,17.9,13.1,14.9,,obs,obs,obs,linear_interpolation
1993-06-06,14.7,12.6,13.5,,obs,obs,obs,linear_interpolation
1993-06-07,16.1,12.7,14.2,,obs,obs,obs,linear_interpolation
1993-06-08,19.4,15.0,17.1,,obs,obs,obs,linear_interpolation
1993-06-09,21.8,18.4,19.9,,obs,obs,obs,linear_interpolation
1993-06-10,22.1,19.4,20.7,,obs,obs,obs,linear_interpolation
1993-06-11,21.8,19.3,20.4,,obs,obs,obs,linear_interpolation
1993-06-12,23.1,18.2,20.6,,obs,obs,obs,linear_interpolation
1993-06-13,23.1,20.0,21.5,,obs,obs,obs,linear_interpolation
1993-06-14,24.8,20.3,22.4,,obs,obs,obs,linear_interpolation
1993-06-15,23.1,16.4,19.6,,obs,obs,obs,linear_interpolation
1993-06-16,19.6,15.2,17.2,,obs,obs,obs,linear_interpolation
1993-06-17,22.1,17.4,19.6,,obs,obs,obs,linear_interpolation
1993-06-18,22.1,19.3,20.6,,obs,obs,obs,linear_interpolation
1993-06-19,20.0,17.9,18.5,,obs,obs,obs,linear_interpolation
1993-06-20,18.6,17.3,17.9,,obs,obs,obs,linear_interpolation
1993-06-21,19.5,17.8,18.6,,obs,obs,obs,linear_interpolation
1993-06-22,21.1,18.1,19.4,,obs,obs,obs,linear_interpolation
1993-06-23,21.2,17.4,19.4,,obs,obs,obs,linear_interpolation
1993-06-24,22.4,17.4,19.8,,obs,obs,obs,linear_interpolation
1993-06-25,21.7,18.6,20.2,,obs,obs,obs,linear_interpolation
1993-06-26,19.7,16.4,17.6,,obs,obs,obs,linear_interpolation
1993-06-27,18.5,15.5,16.9,,obs,obs,obs,linear_interpolation
1993-06-28,19.3,17.1,18.1,,obs,obs,obs,linear_interpolation
1993-06-29,21.2,16.9,18.9,,obs,obs,obs,linear_interpolation
1993-06-30,22.2,19.1,20.6,,obs,obs,obs,linear_interpolation
1993-07-01,21.4,18.5,20.1,,obs,obs,obs,linear_interpolation
1993-07-02,20.1,15.9,18.4,,obs,obs,obs,linear_interpolation
1993-07-03,15.9,13.9,14.5,,obs,obs,obs,linear_interpolation
1993-07-04,20.0,13.6,16.3,,obs,obs,obs,linear_interpolation
1993-07-05,20.3,16.0,18.5,,obs,obs,obs,linear_interpolation
1993-07-06,23.7,20.3,21.9,,obs,obs,obs,linear_interpolation
1993-07-07,24.3,22.2,23.1,,obs,obs,obs,linear_interpolation
1993-07-08,24.3,22.0,23.1,,obs,obs,obs,linear_interpolation
1993-07-09,25.5,22.6,23.9,,obs,obs,obs,linear_interpolation
1993-07-10,25.0,22.1,23.5,,obs,obs,obs,linear_interpolation
1993-07-11,23.6,21.5,22.7,,obs,obs,obs,linear_interpolation
1993-07-12,22.2,20.2,21.3,,obs,obs,obs,linear_interpolation
1993-07-13,24.3,20.1,21.9,,obs,obs,obs,linear_interpolation
1993-07-14,24.0,21.3,22.6,,obs,obs,obs,linear_interpolation
1993-07-15,23.0,21.2,22.1,,obs,obs,obs,linear_interpolation
1993-07-16,21.3,16.0,18.9,,obs,obs,obs,linear_interpolation
1993-07-17,16.3,15.15,17.65,,obs,linear_interpolation,linear_interpolation,linear_interpolation
1993-07-18,18.6,14.3,16.4,,obs,obs,obs,linear_interpolation
1993-07-19,18.1,16.4,17.6,,obs,obs,obs,linear_interpolation
1993-07-20,19.9,15.3,17.4,,obs,obs,obs,linear_interpolation
1993-07-21,21.8,18.4,19.9,,obs,obs,obs,linear_interpolation
1993-07-22,19.9,16.9,18.3,,obs,obs,obs,linear_interpolation
1993-07-23,18.0,14.6,16.1,,obs,obs,obs,linear_interpolation
1993-07-24,15.4,12.4,14.0,,obs,obs,obs,linear_interpolation
1993-07-25,16.9,14.1,15.5,,obs,obs,obs,linear_interpolation
1993-07-26,16.4,14.6,15.6,,obs,obs,obs,linear_interpolation
1993-07-27,15.5,14.1,14.7,,obs,obs,obs,linear_interpolation
1993-07-28,17.2,14.3,15.7,,obs,obs,obs,linear_interpolation
1993-07-29,18.2,15.7,16.8,,obs,obs,obs,linear_interpolation
1993-07-30,17.6,14.2,15.8,,obs,obs,obs,linear_interpolation
1993-07-31,15.1,13.0,14.0,,obs,obs,obs,linear_interpolation
1993-08-01,16.2,13.4,14.6,,obs,obs,obs,linear_interpolation
1993-08-02,16.2,14.6,15.4,,obs,obs,obs,linear_interpolation
1993-08-03,16.6,13.8,15.1,,obs,obs,obs,linear_interpolation
1993-08-04,16.3,15.0,15.7,,obs,obs,obs,linear_interpolation
1993-08-05,15.5,13.4,14.5,,obs,obs,obs,linear_interpolation
1993-08-06,14.7,11.5,12.6,,obs,obs,obs,linear_interpolation
1993-08-07,11.5,10.5,11.1,,obs,obs,obs,linear_interpolation
1993-08-08,14.2,10.8,12.3,,obs,obs,obs,linear_interpolation
1993-08-09,14.6,12.6,13.7,,obs,obs,obs,linear_interpolation
1993-08-10,14.6,12.7,13.8,,obs,obs,obs,linear_interpolation
1993-08-11,14.5,12.4,13.3,,obs,obs,obs,linear_interpolation
1993-08-12,13.8,12.0,12.8,,obs,obs,obs,linear_interpolation
1993-08-13,15.4,12.7,14.0,,obs,obs,obs,linear_interpolation
1993-08-14,15.4,13.6,14.6,,obs,obs,obs,linear_interpolation
1993-08-15,16.3,13.1,14.7,,obs,obs,obs,linear_interpolation
1993-08-16,15.8,12.2,13.6,,obs,obs,obs,linear_interpolation
1993-08-17,13.4,12.2,12.7,,obs,obs,obs,linear_interpolation
1993-08-18,15.4,12.7,13.9,,obs,obs,obs,linear_interpolation
1993-08-19,16.4,14.8,15.6,,obs,obs,obs,linear_interpolation
1993-08-20,16.2,14.5,15.6,,obs,obs,obs,linear_interpolation
1993-08-21,16.0,13.8,14.8,,obs,obs,obs,linear_interpolation
1993-08-22,15.6,13.2,14.6,,obs,obs,obs,linear_interpolation
1993-08-23,15.6,13.7,14.8,,obs,obs,obs,linear_interpolation
1993-08-24,16.7,14.7,15.5,,obs,obs,obs,linear_interpolation
1993-08-25,19.1,16.1,17.2,,obs,obs,obs,linear_interpolation
1993-08-26,20.4,17.9,19.1,,obs,obs,obs,linear_interpolation
1993-08-27,22.0,18.2,19.9,,obs,obs,obs,linear_interpolation
1993-08-28,20.9,18.8,19.6,,obs,obs,obs,linear_interpolation
1993-08-29,18.8,16.3,17.7,,obs,obs,obs,linear_interpolation
1993-08-30,18.4,16.9,17.7,,obs,obs,obs,linear_interpolation
1993-08-31,18.5,16.3,17.4,,obs,obs,obs,linear_interpolation
1993-09-01,19.3,17.7,18.5,,obs,obs,obs,linear_interpolation
1993-09-02,17.7,15.3,16.1,,obs,obs,obs,linear_interpolation
1993-09-03,17.5,15.3,16.2,,obs,obs,obs,linear_interpolation
1993-09-04,19.4,16.8,17.9,,obs,obs,obs,linear_interpolation
1993-09-05,20.6,17.8,19.2,,obs,obs,obs,linear_interpolation
1993-09-06,21.7,18.6,20.0,,obs,obs,obs,linear_interpolation
1993-09-07,20.8,16.3,18.6,,obs,obs,obs,linear_interpolation
1993-09-08,16.3,14.1,14.9,,obs,obs,obs,linear_interpolation
1993-09-09,16.2,13.7,14.9,,obs,obs,obs,linear_interpolation
1993-09-10,17.1,15.8,16.3,,obs,obs,obs,linear_interpolation
1993-09-11,15.8,14.2,14.9,,obs,obs,obs,linear_interpolation
1993-09-12,15.8,13.1,14.4,,obs,obs,obs,linear_interpolation
1993-09-13,18.0,15.0,16.3,,obs,obs,obs,linear_interpolation
1993-09-14,19.4,16.6,17.9,,obs,obs,obs,linear_interpolation
1993-09-15,20.4,17.9,19.1,,obs,obs,obs,linear_interpolation
1993-09-16,19.2,15.8,17.3,,obs,obs,obs,linear_interpolation
1993-09-17,15.8,14.9,15.2,,obs,obs,obs,linear_interpolation
1993-09-18,15.7,14.6,15.1,,obs,obs,obs,linear_interpolation
1993-09-19,16.2,14.2,15.0,,obs,obs,obs,linear_interpolation
1993-09-20,14.6,12.3,13.3,,obs,obs,obs,linear_interpolation
1993-09-21,13.1,12.2,12.5,,obs,obs,obs,linear_interpolation
1993-09-22,14.3,12.1,13.0,,obs,obs,obs,linear_interpolation
1993-09-23,13.9,13.5,13.7,,obs,obs,obs,linear_interpolation
1993-09-24,16.1,12.9,14.3,,obs,obs,obs,linear_interpolation
1993-09-25,16.3,13.7,15.1,,obs,obs,obs,linear_interpolation
1993-09-26,15.6,14.4,14.9,,obs,obs,obs,linear_interpolation
1993-09-27,14.7,14.0,14.5,,obs,obs,obs,linear_interpolation
1993-09-28,14.6,12.9,13.7,,obs,obs,obs,linear_interpolation
1993-09-29,13.9,12.5,13.1,,obs,obs,obs,linear_interpolation
1993-09-30,12.8,10.6,11.9,,obs,obs,obs,linear_interpolation
1993-10-01,12.0,9.0,10.5,,obs,obs,obs,linear_interpolation
1993-10-02,12.5,10.5,11.5,,obs,obs,obs,linear_interpolation
1993-10-03,13.5,12.0,12.5,,obs,obs,obs,linear_interpolation
1993-10-05,12.5,10.5,11.5,,obs,obs,obs,linear_interpolation
1993-10-06,13.0,10.0,11.0,,obs,obs,obs,linear_interpolation
1993-10-07,13.5,10.5,12.0,,obs,obs,obs,linear_interpolation
1993-10-08,15.5,13.0,14.0,,obs,obs,obs,linear_interpolation
1993-10-09,15.0,14.0,14.5,,obs,obs,obs,linear_interpolation
1993-10-10,14.0,9.0,11.5,,obs,obs,obs,linear_interpolation
1993-10-11,9.5,7.0,8.0,,obs,obs,obs,linear_interpolation
1993-10-12,8.0,7.5,7.5,,obs,obs,obs,linear_interpolation
1993-10-13,9.0,7.0,7.5,,obs,obs,obs,linear_interpolation
1993-10-14,7.0,6.0,6.5,,obs,obs,obs,linear_interpolation
1993-10-15,8.5,6.0,7.0,,obs,obs,obs,linear_interpolation
1993-10-16,11.0,8.0,9.5,,obs,obs,obs,linear_interpolation
1993-10-17,12.0,11.0,11.5,,obs,obs,obs,linear_interpolation
1993-10-18,13.5,11.5,12.5,,obs,obs,obs,linear_interpolation
1993-10-19,12.5,10.5,11.5,,obs,obs,obs,linear_interpolation
1993-10-20,11.5,10.5,11.0,,obs,obs,obs,linear_interpolation
1993-10-21,10.5,10.0,10.5,,obs,obs,obs,linear_interpolation
1993-10-22,10.5,8.5,9.5,,obs,obs,obs,linear_interpolation
1993-10-23,10.0,8.0,9.0,,obs,obs,obs,linear_interpolation
1993-10-24,9.5,7.0,8.0,,obs,obs,obs,linear_interpolation
1993-10-25,10.0,7.5,8.5,,obs,obs,obs,linear_interpolation
1993-10-26,9.0,8.5,8.5,,obs,obs,obs,linear_interpolation
1993-10-27,9.0,8.0,8.5,,obs,obs,obs,linear_interpolation
1993-10-28,9.5,8.0,8.5,,obs,obs,obs,linear_interpolation
1993-10-29,8.0,7.0,7.5,,obs,obs,obs,linear_interpolation
1993-10-30,7.5,6.5,7.0,,obs,obs,obs,linear_interpolation
1993-10-31,6.5,5.0,6.0,,obs,obs,obs,linear_interpolation
1993-11-01,5.0,4.0,4.5,,obs,obs,obs,linear_interpolation
1993-11-02,5.0,3.5,4.0,,obs,obs,obs,linear_interpolation
1993-11-03,4.5,4.0,4.5,,obs,obs,obs,linear_interpolation
1993-11-04,5.5,4.5,5.0,,obs,obs,obs,linear_interpolation
1993-11-05,6.5,5.5,6.0,,obs,obs,obs,linear_interpolation
1993-11-06,6.5,6.0,6.5,,obs,obs,obs,linear_interpolation
1993-11-07,6.0,4.0,5.0,,obs,obs,obs,linear_interpolation
1993-11-08,4.5,3.0,4.0,,obs,obs,obs,linear_interpolation
1993-11-09,3.5,2.5,3.0,,obs,obs,obs,linear_interpolation
1993-11-10,3.5,2.0,3.0,,obs,obs,obs,linear_interpolation
1993-11-11,3.5,2.5,3.0,,obs,obs,obs,linear_interpolation
1993-11-12,5.0,3.5,4.0,,obs,obs,obs,linear_interpolation
1993-11-13,4.0,3.0,3.5,,obs,obs,obs,linear_interpolation
1993-11-14,6.5,4.0,5.0,,obs,obs,obs,linear_interpolation
1993-11-15,9.0,6.5,8.0,,obs,obs,obs,linear_interpolation
1993-11-16,9.0,7.5,8.5,,obs,obs,obs,linear_interpolation
1993-11-17,7.5,6.0,6.0,,obs,obs,obs,linear_interpolation
1993-11-18,6.5,6.0,6.0,,obs,obs,obs,linear_interpolation
1993-11-19,6.0,5.0,5.0,,obs,obs,obs,linear_interpolation
1993-11-20,5.5,4.5,5.5,,obs,obs,obs,linear_interpolation
1993-11-21,4.5,3.0,3.5,,obs,obs,obs,linear_interpolation
1993-11-22,4.0,2.5,3.0,,obs,obs,obs,linear_interpolation
1993-11-23,4.0,3.0,3.5,,obs,obs,obs,linear_interpolation
1993-11-24,4.5,3.5,4.0,,obs,obs,obs,linear_interpolation
1993-11-25,4.5,2.5,3.5,,obs,obs,obs,linear_interpolation
1993-11-26,2.5,0.5,1.5,,obs,obs,obs,linear_interpolation
1993-11-27,3.5,1.5,2.0,,obs,obs,obs,linear_interpolation
1993-11-28,7.5,3.5,6.0,,obs,obs,obs,linear_interpolation
1993-11-29,7.0,5.0,5.5,,obs,obs,obs,linear_interpolation
1993-11-30,5.0,3.5,4.5,,obs,obs,obs,linear_interpolation
1993-12-01,3.5,2.0,2.5,,obs,obs,obs,linear_interpolation
1993-12-02,2.5,1.5,2.0,,obs,obs,obs,linear_interpolation
1993-12-03,4.0,2.5,3.5,,obs,obs,obs,linear_interpolation
1993-12-04,3.5,3.5,3.5,,obs,obs,obs,linear_interpolation
1993-12-05,4.5,3.5,4.0,,obs,obs,obs,linear_interpolation
1993-12-06,4.5,4.0,4.0,,obs,obs,obs,linear_interpolation
1993-12-07,4.5,4.0,4.0,,obs,obs,obs,linear_interpolation
1993-12-08,4.5,3.5,4.0,,obs,obs,obs,linear_interpolation
1993-12-09,3.5,2.5,3.0,,obs,obs,obs,linear_interpolation
1993-12-10,4.0,3.0,3.0,,obs,obs,obs,linear_interpolation
1993-12-11,4.0,2.0,3.5,,obs,obs,obs,linear_interpolation
1993-12-12,2.0,0.0,0.5,,obs,obs,obs,linear_interpolation
1993-12-13,0.5,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-14,1.5,0.0,0.5,,obs,obs,obs,linear_interpolation
1993-12-15,4.0,1.5,2.5,,obs,obs,obs,linear_interpolation
1993-12-16,4.5,3.5,4.0,,obs,obs,obs,linear_interpolation
1993-12-17,3.5,1.5,2.0,,obs,obs,obs,linear_interpolation
1993-12-18,1.5,0.5,1.0,,obs,obs,obs,linear_interpolation
1993-12-19,1.5,1.0,1.0,,obs,obs,obs,linear_interpolation
1993-12-20,2.5,1.5,2.0,,obs,obs,obs,linear_interpolation
1993-12-21,2.5,2.0,2.0,,obs,obs,obs,linear_interpolation
1993-12-22,2.0,1.0,1.5,,obs,obs,obs,linear_interpolation
1993-12-23,1.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-24,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-25,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-26,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-27,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-28,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-29,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-30,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1993-12-31,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1994-01-01,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1994-01-02,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1994-01-03,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1994-01-04,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1994-01-05,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
1994-01-06,0.0,0.0,0.0,,obs,obs,obs,linear_interpolation
