date,flow_01425000,flow_01417000,inflow_delLordville,consumption_delLordville,flow_lordville,flow_delTrenton,flow_outletSchuylkill,cannonsville_storage,pepacton_storage,cannonsville_storage_pct,pepacton_storage_pct
1983-05-16,475.7597649481286,497.35666137298824,936.77264,0.17206950464194462,1909.7169968164749,13003.192733904725,4051.2932708263156,95700.0,140200.0,100.0,100.0
1983-05-17,363.0980796453289,253.5922467496604,1016.5142,0.17206950464194462,1633.032456890347,26575.613702742117,4392.51192620332,95700.0,140200.0,100.0,100.0
1983-05-18,264.2326582077086,177.4873344880606,754.11115,0.17206950464194462,1195.6590731911272,16079.776018030127,2301.2813636999535,95700.0,140200.0,100.0,100.0
1983-05-19,230.63270916171155,138.24680535151228,664.1652,0.17206950464194462,1032.872645008582,11325.968738897585,1748.8785813401198,95700.0,140200.0,100.0,100.0
1983-05-20,355.85520976797983,230.16655562318059,678.29364,0.17206950464194462,1264.1433358865183,12977.216287753174,1673.8403526082152,95700.0,140200.0,100.0,100.0
1983-05-21,351.60276932798183,217.91089213634794,660.369,0.17206950464194462,1229.710591959688,18103.080711768605,3039.971999827911,95700.0,140200.0,100.0,100.0
1983-05-22,368.6878008770073,195.31279329804855,587.9119,0.17206950464194462,1151.7404246704139,34981.377101224745,3791.7914417314933,95700.0,140200.0,100.0,100.0
1983-05-23,673.1364194107834,398.7576703976648,1040.2496,0.17206950464194462,2111.971620303806,40980.004713473034,8034.46714156467,95700.0,140200.0,100.0,100.0
1983-05-24,553.6798514205875,364.1782736137311,944.72504,0.17206950464194462,1862.4110955296767,32453.43797446121,4102.523591608237,95700.0,140200.0,100.0,100.0
1983-05-25,344.7550142995295,100.11515241860778,769.79144,0.17206950464194462,1214.4895372134954,20237.605240451427,2879.2698185609083,95700.0,140200.0,100.0,100.0
1983-05-26,326.76397791689016,130.84680726868154,799.7151,0.17206950464194462,1257.1538156809297,19124.111557115884,4746.076962771509,95700.0,140200.0,100.0,100.0
1983-05-27,368.43579054306804,340.12759960089517,1577.5057,0.17206950464194462,2285.897020639321,36105.64900706579,6832.233099769006,95700.0,140200.0,100.0,100.0
1983-05-28,439.87779265983056,396.75128277297904,1106.782,0.17206950464194462,1943.2390059281674,24881.78991673781,3175.149870567522,95700.0,140200.0,100.0,100.0
1983-05-29,475.01714419494687,346.84621749005237,1103.532,0.17206950464194462,1925.223292180357,17186.286432357665,3060.68610678777,95700.0,140200.0,100.0,100.0
1983-05-30,721.5600648857559,537.5573409940021,1590.9806,0.17206950464194462,2849.9259363751157,19421.56310682837,5598.376640829885,95700.0,140200.0,100.0,100.0
1983-05-31,635.1163404630138,553.0215404166651,1533.0272,0.17206950464194462,2720.993011375037,18420.898026289276,3504.249622904068,95700.0,140200.0,100.0,100.0
1983-06-01,527.658205679357,315.1461381130923,1401.3861,0.17206950464194462,2244.0183742878075,14116.209660636223,2691.377483055503,95700.0,140200.0,100.0,100.0
1983-06-02,446.5988675187838,241.94310607434355,1149.9269,0.17206950464194462,1838.2968040884853,11489.610486276271,2222.675107369917,95700.0,140200.0,100.0,100.0
1983-06-03,471.5046720342304,320.57693579497953,956.2403,0.17206950464194462,1748.1498383245682,10012.207784625565,1905.1134618555368,95700.0,140200.0,100.0,100.0
1983-06-04,1063.792468019987,549.5380685222791,1328.0519,0.17206950464194462,2941.2103670376237,11435.73252410966,2595.626716281567,95700.0,140200.0,100.0,100.0
1983-06-05,829.3187875269639,290.27679971222585,1136.033,0.17206950464194462,2255.456517734548,12748.562611229754,3818.852054174245,95700.0,140200.0,100.0,100.0
1983-06-06,769.0789636869683,198.12244043981727,920.5829,0.17206950464194462,1887.612234622144,9349.17225069785,2545.886254245479,95700.0,140200.0,100.0,100.0
1983-06-07,1171.400480326518,311.4872765199003,1352.6963,0.17206950464194462,2835.4119873417767,7295.369991260293,2222.1641916047206,95700.0,140200.0,100.0,100.0
1983-06-08,849.1923639576426,112.4351894256873,900.7953,0.17206950464194462,1862.2507838786878,6658.8955367640765,2068.8243955130647,95700.0,140200.0,100.0,100.0
1983-06-09,753.162094657943,94.46267849764237,701.0742,0.17206950464194462,1548.5269036509437,6919.355941469119,1859.937878213416,95700.0,140200.0,100.0,100.0
