date,T_C,T_i,Tavg,T_L
2015-06-10,8.566816329956055,26.813499450683594,22.04653736717034,23.525345320181987
2015-06-11,8.461332321166992,28.564565658569336,21.706847622906164,23.169419567313284
2015-06-12,8.383689880371094,26.37291145324707,20.377084276587468,21.776098078609152
2015-06-13,8.279582977294922,25.826305389404297,22.025181278410223,23.50296848338127
2015-06-14,8.052648544311523,25.26457405090332,22.946183415420123,24.467991374251937
2015-06-15,8.232535362243652,26.595277786254883,21.986347004630098,23.46227806406278
2015-06-16,8.138649940490723,28.182172775268555,25.913976494607024,27.577634817730846
2015-06-17,8.429701805114746,29.121328353881836,26.766140790156882,28.47052965363007
2015-06-18,8.331005096435547,25.142316818237305,22.551689263797726,24.054641750692788
2015-06-19,8.291593551635742,27.002065658569336,24.070025354389212,25.645549116242268
2015-06-20,8.064170837402344,25.415884017944336,22.531019005962712,24.032983525191
2015-06-21,8.142702102661133,31.499197006225586,19.813406690718818,21.185478630971417
2015-06-22,8.498516082763672,29.442197799682617,23.316432683367534,24.85593729157343
2015-06-23,7.929666042327881,25.676069259643555,22.05890456697963,23.538303629867002
2015-06-24,8.209098815917969,23.855907440185547,20.99538233912019,22.423948674984747
2015-06-25,7.956896781921387,23.39708137512207,20.291027355367245,21.685927930725473
2015-06-26,8.191909790039062,24.10447883605957,21.071716215939613,22.503931050181833
2015-06-27,7.516323566436768,24.007015228271484,19.747454453025092,21.11637410176238
2015-06-28,9.19837760925293,26.586267471313477,19.41937620391442,20.772614833823607
2015-06-29,10.746819496154785,22.083255767822266,18.758260881546356,20.079900458956022
2015-06-30,11.890629768371582,21.199655532836914,19.343155887594346,20.69275144692955
2015-07-01,13.983231544494629,17.27759552001953,16.340969750076955,17.547071074498742
2015-07-02,13.785398483276367,17.298358917236328,16.516072182075103,17.73054280418868
2015-07-03,13.794261932373047,18.11566162109375,17.181544509820743,18.42782243439721
2015-07-04,14.349459648132324,17.501625061035156,16.603282766988286,17.821921756946242
2015-07-05,13.321737289428711,18.468355178833008,17.273233749649997,18.523894106466315
2015-07-06,12.202165603637695,19.77062225341797,18.050557223508605,19.338370985228
2015-07-07,11.053433418273926,19.929115295410156,18.21804944835449,19.513868765877987
2015-07-08,9.769551277160645,19.448951721191406,17.27079501959839,18.521338813454623
2015-07-09,9.49392032623291,20.027833938598633,17.34164156594702,18.59557158254192
2015-07-10,9.017820358276367,20.961326599121094,17.86473470124217,19.143666781599745
2015-07-11,8.759875297546387,23.500633239746094,19.23747071535992,20.582014884729006
2015-07-12,8.366082191467285,21.88212013244629,17.809316812289023,19.085600106991212
2015-07-13,8.660529136657715,24.46855926513672,19.21026812978096,20.55351210854676
2015-07-14,8.541443824768066,25.669424057006836,19.480432748543134,20.836589672574213
2015-07-15,8.20384693145752,23.994848251342773,18.623521749393,19.938721256868416
2015-07-16,8.212573051452637,24.83408546447754,18.852118003160804,20.17824363014912
2015-07-17,8.378331184387207,26.32293701171875,19.33964707189318,20.68907492183215
2015-07-18,8.258707046508789,24.652969360351562,18.128132957303986,19.41965457391942
2015-07-19,8.540419578552246,26.37439727783203,20.160324187010776,21.548977597707996
2015-07-20,8.518553733825684,26.936843872070312,21.22585877202155,22.66544109353452
2015-07-21,8.35890007019043,27.972251892089844,20.547836186378206,21.955011346001683
2015-07-22,8.323247909545898,27.197233200073242,19.707399381771726,21.07440453502451
2015-07-23,8.487044334411621,28.03118133544922,19.681274468276232,21.04703093996748
2015-07-24,8.26762866973877,27.83432960510254,19.06990845939506,20.40644372571194
2015-07-25,8.64262866973877,29.75944709777832,19.45049987282166,20.805226107713672
2015-07-26,8.520184516906738,27.85293197631836,24.196590873262956,25.77816403427559
2015-07-27,8.60893726348877,26.7161808013916,22.709716210122686,24.220221844863985
2015-07-28,8.655853271484375,27.639833450317383,21.561677313760136,23.017310613629952
2015-07-29,8.720211029052734,29.70711898803711,22.220561522057633,23.707687234801078
2015-07-30,8.469353675842285,27.014352798461914,23.378462603590464,24.92093202994434
2015-07-31,8.67950439453125,25.96302032470703,22.306575397588354,23.797812279558443
2015-08-01,8.541217803955078,27.060712814331055,20.614427276558892,22.024785262662753
2015-08-02,8.746461868286133,28.343446731567383,21.440337621782934,22.890171299155227
2015-08-03,8.51053524017334,28.057987213134766,21.143392844874185,22.57903357696518
2015-08-04,8.591743469238281,25.417165756225586,19.396174995275203,20.748304686720797
2015-08-05,8.27278995513916,24.641860961914062,18.517274934699827,19.82739620761948
2015-08-06,8.544339179992676,25.301219940185547,18.944242244779105,20.27477109560581
2015-08-07,8.647138595581055,26.789508819580078,19.816204019559045,21.188409662568017
2015-08-08,8.691880226135254,27.609336853027344,20.22847499028302,21.620385776414782
2015-08-09,8.76766300201416,28.49598503112793,20.69542026449121,22.109649438557557
2015-08-10,8.228468894958496,28.68600082397461,20.449894982408892,21.852388887277897
2015-08-11,8.502259254455566,26.737659454345703,20.042703678816274,21.425735231287387
2015-08-12,8.655213356018066,26.65249252319336,21.196335954535904,22.63450718629176
2015-08-13,8.752524375915527,26.520166397094727,19.69173858581251,21.057995206552196
2015-08-14,8.823749542236328,26.37299919128418,19.35914193460745,20.709501572344312
2015-08-15,8.947563171386719,25.984230041503906,19.114404710887012,20.453066745922385
2015-08-16,7.921176433563232,26.139049530029297,18.354649230873807,19.656997551058733
2015-08-17,8.912837028503418,29.21852684020996,20.89191238643772,22.315533212258394
2015-08-18,8.908726692199707,32.085227966308594,22.82921921627498,24.34543668620977
2015-08-19,8.660440444946289,31.421693801879883,22.20024925486204,23.686404110667546
2015-08-20,8.522768020629883,27.829336166381836,20.117089082309874,21.5036760027942
2015-08-21,9.011259078979492,28.61577033996582,22.06489181997886,23.544577053093196
2015-08-22,8.714803695678711,24.391324996948242,19.930401844158215,21.308065752817292
2015-08-23,8.755770683288574,23.825307846069336,17.7870708315648,19.062290844432454
2015-08-24,9.118648529052734,24.042936325073242,18.13969829395875,19.431772694132157
2015-08-25,9.026317596435547,25.734617233276367,17.389193022143658,18.645395835798233
2015-08-26,8.951305389404297,25.051517486572266,17.55795745816958,18.822226634973827
2015-08-27,8.684020042419434,23.40705680847168,16.838392416350516,18.068268843865855
2015-08-28,9.016240119934082,22.68859100341797,16.705080485811045,17.928585058750638
2015-08-29,9.037500381469727,24.45339584350586,17.785325977452548,19.06046259225812
2015-08-30,9.156177520751953,25.678178787231445,18.572872877918723,19.885651542472175
2015-08-31,9.363338470458984,26.318946838378906,19.076113147112157,20.412944976292252
2015-09-01,9.353960037231445,26.20014762878418,19.010597073310233,20.344297458118092
2015-09-02,9.393845558166504,26.26841163635254,19.033505415644314,20.36830074090749
2015-09-03,9.293109893798828,25.112804412841797,18.42698066226438,19.732786177617147
2015-09-04,9.432931900024414,25.191452026367188,18.569184848105987,19.88178723744129
2015-09-05,9.43496322631836,24.502531051635742,18.07047769278905,19.359243584845334
2015-09-06,9.438111305236816,24.226943969726562,17.882802636317187,19.1625983022092
2015-09-07,9.484796524047852,24.577503204345703,18.12154866007942,19.41275556979481
2015-09-08,9.364008903503418,22.791833877563477,17.150776430983214,18.395583746566665
2015-09-09,9.326780319213867,21.96192169189453,16.52917124678255,17.74426795941223
2015-09-10,9.292616844177246,20.851518630981445,16.506509645506014,17.720523211059486
2015-09-11,9.35434627532959,20.948238372802734,17.182824952492922,18.429164077852146
2015-09-12,8.86807918548584,22.929536819458008,17.35991197706093,18.614715256852794
2015-09-13,9.42312240600586,21.381990432739258,18.233321058864064,19.529870307166533
2015-09-14,9.114349365234375,21.584360122680664,16.84441010339097,18.07457415577641
2015-09-15,9.66558837890625,21.469236373901367,16.708266731125477,17.931923595699462
2015-09-16,9.804011344909668,21.981576919555664,16.99323964968448,18.230517245634395
2015-09-17,9.846759796142578,22.003280639648438,17.403654505520375,18.66054852864625
2015-09-18,9.878113746643066,21.64630889892578,17.109680724434547,18.352523805723617
